Tenant Name,Address,Region,Record Type,Primary Category,Status,CloseDate,OpenDate,openclosed,Last Reviewed/Verified Date,Tenant 18-Digit ID,Account: Account 18-Digit ID,Longitude,Latitude
Milk Bar,110 Wall Street,BID SE,Restaurant/Bar,Quick Eats,Former,10/1/2020,4/17/2017,closed,10/1/2020,a1541000008jS3DAAU,0014100001dLFuxAAG,-74.0063968,40.7049122
Fuku,110 Wall Street,BID SE,Restaurant/Bar,Quick Eats,Former,10/1/2020,6/20/2017,closed,10/1/2020,a1541000008jS3bAAE,0014100001dLFwMAAW,-74.0063968,40.7049122
The Mailroom,110 Wall Street,BID SE,Restaurant/Bar,Drinks & Barfare,Former,11/4/2020,9/5/2017,closed,11/4/2020,a1541000008jS3kAAE,0014100001dLFwbAAG,-74.0063968,40.7049122
HSBC,110 William Street,BID NE,Personal/Business Services,ATM & Banking,Former,7/1/2020,,closed,8/17/2020,a1541000008jSxgAAE,0014100001dLBS1AAO,-74.0067282,40.7087737
Subway,111 Broadway,BID SW,Restaurant/Bar,Quick Eats,Former,9/9/2021,3/9/2009,closed,9/9/2021,a1541000008jTqpAAE,0014100001dLEHxAAO,-74.011961,40.708834
Jos. A. Bank,111 Broadway,BID SW,Shopping,Clothing,Former,8/3/2020,3/30/2011,closed,8/21/2020,a1541000008jRvjAAE,0014100001dLBUaAAO,-74.011961,40.708834
Angel Body Work,112 John Street,BID NE,Personal/Business Services,Hair Salons & Barber Shops; Spas,Former,9/30/2020,,closed,9/30/2020,a1541000008jSD0AAM,0014100001dLE0WAAW,-74.00578067,40.70759299
NYU Medhattan Urgent Care,112 Trinity Place,BID SW,Local Resources,Medical,Former,9/30/2020,10/12/2011,closed,10/1/2020,a1541000008jTUeAAM,0014100001dLDtFAAW,-74.01191803,40.70971938
HSBC,115 Broadway,BID SW,Personal/Business Services,ATM & Banking,Former,7/1/2020,9/26/2016,closed,8/17/2020,a1541000008jS2OAAU,0014100001dLFuFAAW,-74.0109198,40.7087133
Front Art Space,118 Chambers Street,TBS,Point of Interest,Museums/Galleries,Current,10/4/2020,,closed,1/11/2021,a1541000008jSowAAE,0014100001dLFofAAG,-74.0086093,40.7150231
Spring Nail Spa N.Y.,119 Fulton Street,BID NE,Personal/Business Services,Nail Salons; Spas,Former,11/16/2020,11/23/2009,closed,11/17/2020,a1541000008jToKAAU,0014100001dLBQuAAO,-74.00680117,40.71023003
The Paris Cafe´,119 South Street,SSS,Restaurant/Bar,Full Service Dining,Former,5/1/2020,,closed,5/5/2020,a1541000008jTv6AAE,0014100001dLCkaAAG,-74.0015425,40.7073164
Casa Toscana,12 John Street,BID NE,Restaurant/Bar,Quick Eats,Former,9/30/2020,7/24/2017,closed,9/30/2020,a1541000008jSOYAA2,0014100001dLCEjAAO,-74.0091249,40.7098261
W New York - Downtown,123 Washington Street,BID SW,Hotel,,Former,10/13/2020,8/16/2010,closed,10/3/2020,a1541000008jRwxAAE,0014100001dLEJPAA4,-74.01385368,40.70894198
Living Room Bar & Terrace,123 Washington Street,BID SW,Restaurant/Bar,Drinks & Barfare,Former,10/13/2020,9/1/2010,closed,10/2/2020,a1541000008jRwyAAE,0014100001dLF5KAAW,-74.01385368,40.70894198
BentOn Cafe,123 William Street,BID NE,Restaurant/Bar,Quick Eats,Former,11/16/2020,8/8/2017,closed,11/17/2020,a1541000008jUSDAA2,0014100001dLFycAAG,-74.0071476,40.7093248
Open Kitchen,123 William Street,BID NE,Restaurant/Bar,Quick Eats,Former,3/31/2021,7/21/2015,closed,,a1541000008jTWZAA2,0014100001dLFKVAA4,-74.0071476,40.7093248
Menya Jiro,123 William Street,BID NE,Restaurant/Bar,Quick Eats,Former,6/30/2021,8/9/2017,closed,,a1541000008jTJOAA2,0014100001dLCi9AAG,-74.0071476,40.7093248
New Fresh Cleaners,124 Nassau Street,BID NE,Personal/Business Services,Dry Cleaning,Former,9/30/2020,6/24/2015,closed,1/13/2020,a1541000008jTPcAAM,0014100001dLBuwAAG,-74.00680535,40.71093271
District Bagels,125 Fulton Street,BID NE,Restaurant/Bar,Quick Eats,Former,3/1/2021,10/23/2019,closed,10/23/2019,a152M00002GxZZWQA3,0012M00002Gbly5QAB,-74.00738509,40.71013309
PNC Bank ATM,125 Maiden Lane,BID NE,Personal/Business Services,ATM & Banking,Former,10/30/2020,8/13/2015,closed,11/4/2020,a1541000009ofwrAAA,0014100001mc6weAAA,-74.0062499,40.7066092
The Beekman Pub,126 Nassau Street,BID NE,Restaurant/Bar,Full Service Dining,Canceled,6/19/2020,,closed,6/16/2020,a1541000008jTtRAAU,0014100001dLCK4AAO,-74.006595,40.711139
Vintry Wine & Whiskey,13 South William Street,BID SE,Restaurant/Bar,Full Service Dining,Former,6/1/2021,11/23/2009,closed,6/14/2021,a1541000008jUB2AAM,0014100001dLEZyAAO,-74.010121,40.704502
Courtyard by Marriott Downtown Manhattan/World Trade Center,133 Greenwich Stre,BID SW,Hotel,,Former,7/20/2021,11/16/2016,closed,7/20/2021,a1541000008jS2gAAE,0014100001dLFuPAAW,-74.0126397,40.7093565
Smashburger,136 William Street,BID NE,Restaurant/Bar,Quick Eats,Former,9/18/2020,3/17/2015,closed,9/18/2020,a1541000008jTmpAAE,0014100001dLBVEAA4,-74.0065778,40.70932506
Sweets By CHLOE,14 Fulton Street,SSS,Restaurant/Bar,Quick Eats,Former,9/16/2021,9/13/2018,closed,9/16/2021,a154100000APCuoAAH,0014100001yTxofAAC,-74.003574,40.706682
by CHLOE,14 Fulton Street,SSS,Restaurant/Bar,Quick Eats,Former,9/16/2021,9/13/2018,closed,9/16/2021,a154100000APBNLAA5,0014100001dLBU3AAO,-74.003574,40.706682
Cynthia Rowley,14 Fulton Street,SSS,Shopping,Clothing,Former,8/17/2020,10/23/2018,closed,1/13/2021,a154100000ANKrMAAX,0014100001yTJugAAG,-74.003574,40.706682
Lee Lee's Forest,14 Fulton Street,SSS,Shopping,Clothing,Former,8/17/2020,,closed,1/13/2021,a1541000008jTCaAAM,0014100001dLBU8AAO,-74.003574,40.706682
Alexis Bittar,14 Fulton Street,SSS,Shopping,Jewelers,Former,1/15/2021,7/18/2019,closed,1/15/2021,a152M00001uGeOVQA0,0012M00002CiFoJQAV,-74.003574,40.706682
Feed Your Soul Cafe,14 Wall Street,BID SE,Restaurant/Bar,Quick Eats,Former,9/1/2021,6/14/2016,closed,1/14/2021,a1541000008jS0PAAU,0014100001dLC5fAAG,-74.010828,40.707583
Bank of America ATM,140 Nassau Street,BID NE,Personal/Business Services,ATM & Banking,Former,2/10/2021,,closed,11/3/2020,a1541000008jSGeAAM,0014100001dLBPhAAO,-74.00625975,40.71131232
Pronto Pizza,141 Fulton Street,BID NE,Restaurant/Bar,Quick Eats,Former,10/30/2020,5/4/2017,closed,11/4/2020,a1541000008jTcBAAU,0014100001dLC2aAAG,-74.00850286,40.71050004
Moxy NYC Downtown,143 Fulton Street,BID NE,Hotel,,Former,5/1/2021,10/31/2018,closed,6/9/2021,a154100000AQ69sAAD,0014100001vCiUeAAK,-74.008167,40.710524
Recreation,143 Fulton Street,BID NE,Restaurant/Bar,Drinks & Barfare,Former,5/1/2021,10/31/2018,closed,6/9/2021,a154100000AQ6FqAAL,0014100001yUClDAAW,-74.008167,40.710524
Brooklyn Bridge Bike Rent,145 Nassau Street,BID NE,Local Resources,Transportation,Former,9/30/2020,6/2/2016,closed,9/30/2020,a1541000008jS0MAAU,0014100001dLFqMAAW,-74.0067,40.71165
Antonella's Barbershop,145 Nassau Street,BID NE,Personal/Business Services,Hair Salons & Barber Shops,Former,9/30/2020,,closed,9/30/2020,a1541000008jSDOAA2,0014100001dLFwXAAW,-74.0067,40.71165
Pita Express,15 Ann Street,BID NE,Restaurant/Bar,Quick Eats,Former,7/1/2021,1/1/1998,closed,7/13/2021,a1541000008jTaFAAU,0014100001dLBkUAAW,-74.00785928,40.71093489
G.D. Watch and Jewelry Repairs,15 Maiden Lane,BID NE,Shopping,Jewelers,Former,4/26/2021,6/7/2018,closed,4/29/2021,a1541000008jSpUAAU,0014100001dLBS3AAO,-74.00895755,40.7098112
Latte Art,15 Stone Street,BID SE,Restaurant/Bar,Quick Eats,Former,3/3/2021,12/31/2008,closed,9/30/2020,a1541000008jTA9AAM,0014100001dLEFRAA4,-74.012089,40.7041
Modell's Sporting Goods,150 Broadway,BID NE,Shopping,Sporting Goods & Athletic Wear,Former,9/1/2020,,closed,9/10/2020,a1541000008jTLnAAM,0014100001dLC6TAAW,-74.0100953,40.7091841
I Love New York Gifts,150 Broadway,BID NE,Shopping,Souvenir & Gift Shops,Former,12/31/2020,,closed,1/13/2021,a152M00000AG6JzQAL,0012M000025ysFmQAI,-74.0100953,40.7091841
Tribeca Hardware,154 Chambers Street,TBS,Personal/Business Services,Hardware & Locksmiths,Former,8/31/2020,,closed,8/24/2020,a1541000008jTybAAE,0014100001dLCfWAAW,-74.01002277,40.71577786
Mariachi's,156 Chambers Street,TBS,Restaurant/Bar,Full Service Dining,Former,6/26/2020,6/26/2016,closed,6/27/2020,a1541000008jTGjAAM,0014100001dLE4OAAW,-74.01007232,40.71580045
Chase Bank,156 Front Street,BID NE,Personal/Business Services,ATM & Banking,Former,5/13/2020,12/15/2009,closed,5/13/2020,a1541000008jRwcAAE,0014100001dLEaVAAW,-74.005795,40.706101
Milk + Honey,160 Broadway,BID NE,Restaurant/Bar,Quick Eats,Former,11/16/2020,9/1/2016,closed,11/17/2020,a152M00002BqyOqQAJ,0012M00002EpCLqQAN,-74.01008417,40.70945182
Lane Jewelers,164 Pearl Street,BID SE,Shopping,Jewelers,Former,9/30/2020,,closed,9/30/2020,a1541000008jT9yAAE,0014100001dLC8nAAG,-74.007216,40.705889
Dante's Gourmet Foods,166 William Street,BID NE,Restaurant/Bar,Quick Eats,Former,9/30/2020,,closed,9/18/2020,a1541000008jScJAAU,0014100001dLBQAAA4,-74.00570642,40.71021986
The Assemblage,17 John Street,BID NE,Hotel,,Former,6/22/2020,4/16/2018,closed,6/22/2020,a1541000008jTtIAAU,0014100001dLCIQAA4,-74.00880803,40.70988819
GAP,170 Broadway,BID NE,Shopping,Clothing,Former,12/31/2020,3/25/2015,closed,1/13/2021,a1541000008jSpoAAE,0014100001mc6vJAAQ,-74.0099212,40.7095628
Trading Post,170 John Street,SSS,Restaurant/Bar,Full Service Dining,Former,7/1/2020,7/2/2013,closed,1/15/2021,a1541000008jTxvAAE,0014100001dLBfLAAW,-74.00428412,40.70594799
Fedoroff's Steaks,173 Broadway,BID NW,Restaurant/Bar,Quick Eats,Former,1/1/2021,5/7/2019,closed,5/7/2019,a152M00001KITrbQAH,0012M000029q5R6QAI,-74.01019385,40.71000993
18|8 Fine Men's Salons,18 Pine Street,BID SE,Personal/Business Services,Hair Salons & Barber Shops,Former,7/1/2020,10/27/2010,closed,,a1541000008jS5FAAU,0014100001dLEHPAA4,-74.009875,40.707769
Kusmi Tea,185 Greenwich Street,BID NW,Restaurant/Bar,Quick Eats,Former,7/1/2020,12/19/2016,closed,,a1541000008jS2nAAE,0014100001dLFtKAAW,-74.0113762,40.7113982
Sweetcatch Poke,185 Greenwich Street,BID NW,Restaurant/Bar,Quick Eats,Former,6/30/2021,7/8/2019,closed,7/14/2021,a152M00000B0zyBQAR,0012M00002Cgjr6QAB,-74.0113762,40.7113982
Bose,185 Greenwich Street,BID NW,Shopping,Electronics,Former,7/1/2020,8/16/2016,closed,8/17/2020,a1541000008jS1EAAU,0014100001dLFt2AAG,-74.0113762,40.7113982
Brooklyn Bleu,185 Greenwich Street,BID NW,Shopping,Jewelers,Former,7/1/2020,9/9/2019,closed,9/9/2019,a152M00002GWpQwQAL,0012M00002FqGDpQAN,-74.0113762,40.7113982
Innisfree,185 Greenwich Street,BID NW,Shopping,Beauty & Fragrances,Former,12/1/2020,6/21/2019,closed,12/10/2020,a152M00001fcfkvQAA,0012M00002B5DU6QAN,-74.0113762,40.7113982
Havaianas,185 Greenwich Street,BID NW,Shopping,Shoes,Former,12/31/2020,5/18/2017,closed,1/11/2021,a1541000008jS3QAAU,0014100001dLFsZAAW,-74.0113762,40.7113982
Dior Cosmetics,185 Greenwich Street,BID NW,Shopping,Beauty & Fragrances,Former,1/22/2021,11/8/2016,closed,1/22/2021,a1541000008jS2eAAE,0014100001dLFsTAAW,-74.0113762,40.7113982
Invicta,185 Greenwich Street,BID NW,Shopping,Jewelers,Former,1/29/2021,8/17/2016,closed,2/3/2021,a1541000008jS1RAAU,0014100001dLFsvAAG,-74.0113762,40.7113982
House of Samsonite,185 Greenwich Street,BID NW,Shopping,Leather & Luggage,Former,1/29/2021,8/23/2016,closed,2/3/2021,a1541000008jS25AAE,0014100001dLFsyAAG,-74.0113762,40.7113982
Designer Eyes,185 Greenwich Street,BID NW,Shopping,Eyewear,Former,3/1/2021,9/21/2016,closed,3/4/2021,a1541000008jS2MAAU,0014100001dLFtHAAW,-74.0113762,40.7113982
Victoria's Secret,185 Greenwich Street,BID NW,Shopping,Clothing,Former,4/30/2021,9/19/2016,closed,5/19/2021,a1541000008jS2KAAU,0014100001dLFsnAAG,-74.0113762,40.7113982
Fossil,185 Greenwich Street,BID NW,Shopping,Jewelers,Former,6/30/2021,8/17/2016,closed,7/14/2021,a1541000008jS1PAAU,0014100001dLFspAAG,-74.0113762,40.7113982
TOUS,185 Greenwich Street,BID NW,Shopping,Jewelers,Former,6/30/2021,8/17/2016,closed,7/14/2021,a1541000008jS1pAAE,0014100001dLFtIAAW,-74.0113762,40.7113982
Camper,185 Greenwich Street,BID NW,Shopping,Shoes,Former,6/30/2021,8/17/2016,closed,,a1541000008jS1JAAU,0014100001dLFssAAG,-74.0113762,40.7113982
Minamoto Kitchoan,185 Greenwich Street,BID NW,Shopping,Candy & Chocolate,Former,6/30/2021,8/31/2016,closed,7/12/2021,a1541000008jS2CAAU,0014100001dLFtDAAW,-74.0113762,40.7113982
Solstice Sunglasses,185 Greenwich Street,BID NW,Shopping,Eyewear,Former,6/30/2021,4/4/2017,closed,7/12/2021,a1541000008jS37AAE,0014100001dLFq7AAG,-74.0113762,40.7113982
Nunu Chocolates,185 Greenwich Street,BID NW,Shopping,Candy & Chocolate,Former,6/30/2021,4/5/2018,closed,7/14/2021,a1541000008jS4LAAU,0014100001dLFt8AAG,-74.0113762,40.7113982
Moving Visions Dance,19 Murray Street,TBS,Local Resources,Recreational & Youth Activities,Former,10/4/2020,,closed,10/4/2020,a1541000008jTMfAAM,0014100001dLDkuAAG,-74.00821613,40.71363446
Montessori School of Manhattan,2 Gold Street,BID NE,Local Resources,Education,Former,10/1/2020,,closed,10/1/2020,a1541000008jTM7AAM,0014100001dLEEOAA4,-74.006707,40.707302
Santander Bank,2 Gold Street,BID NE,Personal/Business Services,ATM & Banking,Former,4/15/2021,,closed,5/20/2021,a1541000008jTj6AAE,0014100001dLEXHAA4,-74.006707,40.707302
Le Pain Quotidien,2 River Terrace,BPC,Restaurant/Bar,Full Service Dining,Former,7/31/2020,7/13/2010,closed,8/11/2020,a1541000008jRwuAAE,0014100001dLEzqAAG,-74.0165239,40.7154964
Fidelity Investments,1 Liberty Plaza,BID NW,Personal/Business Services,Investor,Current,,8/1/2020,opened,8/17/2020,a1541000008jSlsAAE,0014100001dLBwNAAW,-74.0108873,40.7096863
Inday,1 New York Plaza,BID SE,Restaurant/Bar,Quick Eats,Current,,9/27/2021,opened,9/29/2021,a152M00002PeEcKQAV,0012M00002aKirQQAS,-74.0120455,40.7021941
Sonder Battery Park,1 West Street,BID SW,Hotel,,Current,,4/1/2021,opened,4/26/2021,a152M00002NIMkFQAX,0012M00002WJo4UQAT,-74.0161541,40.7055977
Life Time Studio Battery Park,1 West Street,BID SW,Personal/Business Services,Fitness Centers,Current,,4/23/2021,opened,4/19/2021,a152M00002NAcutQAD,0012M00002WIegGQAT,-74.0161541,40.7055977
The View at Battery Park,10 Battery Place,BPK,Restaurant/Bar,Full Service Dining,Current,,6/22/2020,opened,1/15/2021,a152M00002JQoehQAD,0012M00002MzEu7QAF,-74.015714,40.702997
New York Health & Racquet Club,2 Water Street,BID SE,Personal/Business Services,Fitness Centers,Former,9/1/2020,1/1/1987,closed,9/9/2020,a1541000008jTQwAAM,0014100001dLBizAAG,-74.012756,40.702732
Bright Beginnings,10 Fulton Street,SSS,Local Resources,Education,Current,,11/9/2020,opened,11/12/2020,a152M00002KwSvfQAF,0012M00002R4pRGQAZ,-74.0036275,40.706565
Casa Cipriani,10 South Street,SSS,Hotel,,Current,,8/23/2021,opened,9/7/2021,a152M00002OC7N2QAL,0012M00002YsLQGQA3,-74.01165071,40.70098785
Joe Coffee,10 South Street,SSS,Restaurant/Bar,Quick Eats,Current,,6/30/2021,opened,7/12/2021,a152M00002OC7A8QAL,0012M00002YsL89QAF,-74.01165071,40.70098785
Casa Cipriani Club,10 South Street,SSS,Restaurant/Bar,Drinks & Barfare; Full Service Dining,Current,,9/7/2021,opened,,a152M00002OaWSWQA3,0012M00002YuGn4QAF,-74.01165071,40.70098785
Ampia,100 Broad Street,BID SE,Restaurant/Bar,Full Service Dining,Current,,7/6/2020,opened,1/15/2021,a152M00002Jg4gYQAR,0012M00002Naa5dQAB,-74.012096,40.703459
Chinah Kitchen,100 Maiden Lane,BID SE,Restaurant/Bar,Quick Eats,Current,,3/10/2021,opened,3/10/2021,a152M00002McmNZQAZ,0012M00002UDILuQAP,-74.00716084,40.70666035
Jackass Burrito,102 North End Avenue,NBPC,Restaurant/Bar,Quick Eats,Current,,2/24/2021,opened,2/24/2021,a152M00002MMGKoQAP,0012M00002U69MvQAJ,-74.0153365,40.7149555
Anassa Taverna,102 North End Avenue,NBPC,Restaurant/Bar,Full Service Dining,Current,,10/11/2021,opened,,a152M00002PSmk2QAD,0012M00002aJmeTQAS,-74.0153365,40.7149555
Harrys Pizza,104 Trinity Place,BID SW,Restaurant/Bar,Quick Eats,Current,,3/5/2020,opened,1/11/2021,a152M00002IKGHoQAP,0012M00002JsqvLQAR,-74.0120054,40.7095464
Lazzaro Carved Meat & Rotisserie,104 Trinity Place,BID SW,Restaurant/Bar,Quick Eats,Current,,3/5/2020,opened,1/11/2021,a152M00002IKGJuQAP,0012M00002Jsqx2QAB,-74.0120054,40.7095464
Bonefade Barbers,105 Nassau Street,BID NE,Personal/Business Services,Hair Salons & Barber Shops,Current,,4/9/2021,opened,4/5/2021,a152M00002N0p6nQAB,0012M00002VYz2aQAD,-74.0073535,40.71069
Dragon Horn Bubble Tea,106 Greenwich Street,BID SW,Restaurant/Bar,Quick Eats,Current,,6/11/2020,opened,1/28/2021,a152M00002JKaSRQA1,0012M00002MxMQAQA3,-74.0136127,40.7085336
Calderón Ruiz,106 South Street,SSS,Point of Interest,Museums/Galleries,Current,,9/7/2021,opened,8/23/2021,a152M00002OyZLkQAN,0012M00002aHRvhQAG,-74.0022133,40.7070271
Hydra Studios,120 Wall Street,BID SE,Personal/Business Services,Fitness Centers,Current,,1/4/2021,opened,1/19/2021,a152M00002LXZBvQAP,0012M00002SO0ZyQAL,-74.00595512,40.70476125
Pace Gourmet Deli,122 Nassau Street,BID NE,Restaurant/Bar,Quick Eats,Current,,8/18/2020,opened,8/18/2020,a152M000028nctGQAQ,0012M00002Nel4lQAB,-74.006767,40.7108429
Skinos Mediterranean,123 Washington Street,BID SW,Restaurant/Bar,Full Service Dining,Current,,9/13/2021,opened,,a152M00002PSmagQAD,0012M00002aJmb0QAC,-74.0138424,40.709192
123 Marketplace,123 William Street,BID NE,Restaurant/Bar,Quick Eats,Current,,5/7/2021,opened,5/13/2021,a152M00002NTm49QAD,0012M00002X9vxIQAR,-74.00713905,40.7093246
Jokr,123 William Street,BID NE,Storefront Commercial,,Current,,8/30/2021,opened,8/16/2021,a152M00002OmfDIQAZ,0012M00002aGviAQAS,-74.00713905,40.7093246
Easy Wag,124 Nassau Street,BID NE,Shopping,"Pets Store, Supplies & Services",Current,,8/2/2021,opened,8/3/2021,a152M00002OYYkPQAX,0012M00002Yu5MbQAJ,-74.00667191,40.71083545
Insomnia Cookies,125 Church Street,TBS,Restaurant/Bar,Quick Eats,Current,,5/3/2021,opened,5/6/2021,a152M00002NMUj3QAH,0012M00002WKrKhQAL,-74.0084612,40.714011
Zucker's Bagels & Smoked Fish,125 Fulton Street,BID NE,Restaurant/Bar,Quick Eats,Current,,5/15/2021,opened,5/17/2021,a152M00002NVaqzQAD,0012M00002XAdQ9QAL,-74.0072816,40.7100965
Bodega Gran Via,13 South William Street,BID SE,Restaurant/Bar,Drinks & Barfare,Current,,6/24/2021,opened,,a152M00002NkojYQAR,0012M00002XvEsOQAV,-74.0104283,40.7045946
Bathtub Whiskey,13 South William Street,BID SE,Restaurant/Bar,Drinks & Barfare,Former,9/1/2021,12/10/2020,opened/closed,9/1/2021,a152M00002LHXPFQA5,0012M00002R7gQ7QAJ,,
Grubbs Takeaway,136 William Street,BID NE,Restaurant/Bar,Quick Eats,Current,,3/2/2021,opened,3/3/2021,a152M00002ImYFrQAN,0012M00002UCNT4QAP,-74.00648983,40.7092713
Beatnic,14 Fulton Street,SSS,Restaurant/Bar,Quick Eats,Current,,9/18/2021,opened,9/16/2021,a152M00002PSlN1QAL,0012M00002aJlN4QAK,-74.0037324,40.7067012
Osteria del Porto,140 Beekman Street,SSS,Restaurant/Bar,Full Service Dining,Current,,4/26/2021,opened,4/27/2021,a152M00002NIMcVQAX,0012M00002WJo0sQAD,-74.0027497,40.7073854
Omar's Mediterranean Cuisine,15 Ann Street,BID NE,Restaurant/Bar,Quick Eats,Current,,7/26/2021,opened,,a152M00002ODOIFQA5,0012M00002YsRZbQAN,-74.00781438,40.7110119
Stone Smoke Shop,15 Stone Street,BID SE,Shopping,Cigars,Current,,4/26/2021,opened,4/29/2021,a152M00002NJdErQAL,0012M00002WJyJLQA1,-74.0120738,40.7041156
16 Handles,155 Chambers Street,TBS,Restaurant/Bar,Quick Eats,Current,,8/24/2020,opened,1/11/2021,a152M00002K1z33QAB,0012M00002O4i0qQAB,-74.010036,40.715996
TD Podiatry,156 William Street,BID NE,Local Resources,Medical,Current,,11/2/2020,opened,11/4/2020,a152M00002KsLpKQAV,0012M00002Pq3yPQAR,-74.0058727,40.7100193
BeU,160 Broadway,BID NE,Personal/Business Services,Fitness Centers,Current,,6/22/2021,opened,6/22/2021,a152M00002NoSNtQAN,0012M00002XwyotQAB,-74.01002963,40.70937965
Sonder City Hall Park,17 John Street,BID NE,Hotel,,Current,,4/1/2021,opened,4/27/2021,a152M00002NIMmpQAH,0012M00002WJo57QAD,-74.00868458,40.70999965
Simba Mix,173 Broadway,BID NW,Restaurant/Bar,Quick Eats,Current,,3/15/2021,opened,3/22/2021,a152M00002MhalvQAB,0012M00002VXMwSQAX,-74.0100513,40.7099516
New York Gifts,174 Broadway,BID NE,Shopping,Souvenir & Gift Shops,Current,,9/18/2020,opened,9/30/2020,a152M00002KScHrQAL,0012M00002PN085QAD,-74.0097798,40.709839
Citibank,180 Water Street,BID NE,Personal/Business Services,ATM & Banking,Current,,9/1/2020,opened,9/30/2020,a152M00002KSc4iQAD,0012M00002PN01rQAD,-74.0053605,40.7068168
Gansevoort Liberty Market,185 Greenwich Street,BID NW,Restaurant/Bar,Quick Eats,Current,,12/7/2020,opened,12/7/2020,a152M00002LGpfiQAD,0012M00002R7TUVQA3,-74.0116669,40.7136477
Haagen Dazs,185 Greenwich Street,BID NW,Restaurant/Bar,Quick Eats,Current,,6/2/2021,opened,6/2/2021,a152M00002NcgVbQAJ,0012M00002XtxjIQAR,-74.0116669,40.7136477
Golden Bar,185 Greenwich Street,BID NW,Shopping,Clothing,Current,,10/12/2020,opened,10/12/2020,a152M00002KXt9YQAT,0012M00002Pnqq6QAB,-74.0116669,40.7136477
I Love NY Gifts,185 Greenwich Street,BID NW,Shopping,Souvenir & Gift Shops,Current,,10/26/2020,opened,10/26/2020,a152M00002KnhypQAB,0012M00002Pp0HxQAJ,-74.0116669,40.7136477
Chick-fil-A,200 Broadway,BID NE,Restaurant/Bar,Quick Eats,Former,10/30/2020,3/6/2019,closed,1/12/2021,a152M00000SnO3MQAV,0012M0000260u63QAA,-74.0089171,40.7104473
Brik & Clik,185 Greenwich Street,BID NW,Shopping,Souvenir & Gift Shops,Current,,11/20/2020,opened,11/20/2020,a152M00002L5GMXQA3,0012M00002R5WTMQA3,-74.0116669,40.7136477
Forme Life,185 Greenwich Street,BID NW,Shopping,Sporting Goods & Athletic Wear,Current,,12/12/2020,opened,12/14/2020,a152M00002LJxFNQA1,0012M00002SMCMWQA5,-74.0116669,40.7136477
Sunsations Eyes,185 Greenwich Street,BID NW,Shopping,Eyewear,Current,,5/13/2021,opened,5/17/2021,a152M00002NVbL9QAL,0012M00002XAeacQAD,-74.0116669,40.7136477
Omega Jewelers,19 Dutch Street,BID NE,Shopping,Jewelers,Current,,4/9/2021,opened,4/9/2021,a1541000008jUJmAAM,0014100001dLG59AAG,-74.006595,40.711139
healthynest,19 Warren Street,TBS,Shopping,Children's Store,Current,,8/23/2021,opened,9/7/2021,a152M00002Nf2UYQAZ,0012M00002XuXHIQA3,-74.00782838,40.7138946
